tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,X1,id,imdbid,rating,title,year
tt1039960,7.8,4462,movie,Estomago: A Gastronomic Story,Estômago,0,2007,,113,Drama,4473,7796,1039960,0,Est&ocirc;mago,2007
tt1041829,6.7,262910,movie,The Proposal,The Proposal,0,2009,,108,"Comedy,Drama,Romance",4959,1282,1041829,2,"Proposal, The",2009
tt1043726,4.2,49491,movie,The Legend of Hercules,The Legend of Hercules,0,2014,,99,"Action,Adventure,Fantasy",6880,5068,1043726,2,"Legend of Hercules, The",2014
tt1043842,7.1,8930,movie,Appleseed Ex Machina,Appurushido: Ekusu makina,0,2007,,105,"Action,Animation,Drama",4499,1764,1043842,3,Appleseed Saga: Ex Machina,2007
tt1045658,7.7,604645,movie,Silver Linings Playbook,Silver Linings Playbook,0,2012,,122,"Comedy,Drama,Romance",5993,3818,1045658,3,Silver Linings Playbook,2012
tt1045670,7,35326,movie,Happy-Go-Lucky,Happy-Go-Lucky,0,2008,,118,"Comedy,Drama,Romance",4681,1290,1045670,3,Happy-Go-Lucky,2008
tt1045772,6.6,85771,movie,I Love You Phillip Morris,I Love You Phillip Morris,0,2009,,98,"Biography,Comedy,Crime",5002,757,1045772,1,I Love You Phillip Morris,2009
tt1046173,5.8,188518,movie,G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra,0,2009,,118,"Action,Adventure,Sci-Fi",5100,453,1046173,1,G.I. Joe: The Rise of Cobra,2009
tt1046947,6.7,19279,movie,Last Chance Harvey,Last Chance Harvey,0,2008,,93,"Drama,Romance",4691,6097,1046947,3,Last Chance Harvey,2008
tt1046997,6,16824,movie,Miracle at St. Anna,Miracle at St. Anna,0,2008,,160,"Action,Drama,War",4713,1451,1046997,2,Miracle at St. Anna,2008
tt1047540,6.1,23296,movie,Parental Guidance,Parental Guidance,0,2012,,105,"Comedy,Family",6109,4320,1047540,3,Parental Guidance,2012
tt1048171,7.4,5424,movie,Séraphine,Séraphine,0,2008,,125,"Biography,Drama",4617,2094,1048171,3,S&eacute;raphine,2008
tt1048174,6.6,3351,movie,The World Unseen,The World Unseen,0,2007,,93,"Drama,Romance",4366,1339,1048174,3,"World Unseen, The",2007
tt1049402,6.8,11906,movie,Howl,Howl,0,2010,,84,"Biography,Drama,Romance",5394,2778,1049402,0,Howl,2010
tt1049413,8.3,809601,movie,Up,Up,0,2009,,96,"Adventure,Animation,Comedy",4994,334,1049413,1,Up,2009
tt1049948,6.2,613,movie,Casi divas,Casi divas,0,2008,,107,"Comedy,Musical",4797,5658,1049948,3,Casi divas,2008
tt1050001,3.9,1357,movie,Albino Farm,Albino Farm,0,2009,,90,Horror,5128,3821,1050001,3,Albino Farm,2009
tt1050002,5.8,1872,movie,My Last Five Girlfriends,My Last Five Girlfriends,0,2009,,87,Comedy,4857,2258,1050002,3,My Last Five Girlfriends,2009
tt1050160,5.9,9231,movie,The Machine Girl,Kataude mashin gâru,0,2008,,96,"Action,Comedy,Horror",4710,740,1050160,3,Kataude mashin garu,2008
tt1051904,6.3,68417,movie,Goosebumps,Goosebumps,0,2015,,103,"Adventure,Comedy,Family",7037,6508,1051904,2,Goosebumps,2015
tt1052040,4.7,2596,movie,Seventh Moon,Seventh Moon,0,2008,,87,"Horror,Thriller",4574,4767,1052040,0,Seventh Moon,2008
tt1052352,5.6,1650,tvMovie,Princess,Princess,0,2008,,88,"Comedy,Family,Fantasy",4650,5174,1052352,3,Princess: A Modern Fairtyale,2008
tt1053424,6.3,94405,movie,Repo Men,Repo Men,0,2010,,111,"Action,Crime,Sci-Fi",5311,723,1053424,3,Repo Men,2010
tt1053810,6.2,38763,movie,The Big Year,The Big Year,0,2011,,100,Comedy,5575,2788,1053810,2,"Big Year, The",2011
tt1054485,7.3,21572,video,Futurama: The Beast with a Billion Backs,Futurama: The Beast with a Billion Backs,0,2008,,90,"Animation,Comedy,Romance",4648,81,1054485,2,Futurama: The Beast with a Billion Backs,2008
tt1054486,7.3,18455,video,Futurama: Bender's Game,Futurama: Bender's Game,0,2008,,88,"Action,Adventure,Animation",4704,338,1054486,1,Futurama: Bender&#39;s Game,2008
tt1054487,7.3,16185,video,Futurama: Into the Wild Green Yonder,Futurama: Into the Wild Green Yonder,0,2009,,89,"Animation,Comedy,Sci-Fi",5061,276,1054487,3,Futurama: Into the Wild Green Yonder,2009
tt1054580,7.4,10761,movie,Desert Flower,Desert Flower,0,2009,,120,"Biography,Drama",5121,2650,1054580,3,Desert Flower,2009
tt1054588,7,15559,movie,Flash of Genius,Flash of Genius,0,2008,,119,"Biography,Drama",4775,470,1054588,1,Flash of Genius,2008
tt1054606,6.8,136359,movie,The Imaginarium of Doctor Parnassus,The Imaginarium of Doctor Parnassus,0,2009,,123,"Adventure,Comedy,Fantasy",4891,696,1054606,1,"Imaginarium of Doctor Parnassus, The",2009
tt1055366,5.1,25498,tvMovie,Camp Rock,Camp Rock,0,2008,,94,"Comedy,Family,Music",4667,6347,1055366,3,Camp Rock,2008
tt1055369,6,356599,movie,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,0,2009,,150,"Action,Adventure,Sci-Fi",4853,477,1055369,3,Transformers: Revenge of the Fallen,2009
tt1056437,6.8,4919,movie,The Sky Crawlers,Sukai kurora,0,2008,,122,"Adventure,Animation,Drama",4766,1829,1056437,3,"Sky Crawlers, The",2008
tt1056444,6.7,49,movie,Damn Bastard!,¡Maldito bastardo!,0,2008,,83,"Comedy,Horror",4613,2078,1056444,0,Damn Bastard!,2008
tt1057500,7.3,137905,movie,Invictus,Invictus,0,2009,,134,"Biography,Drama,History",4854,1186,1057500,1,Invictus,2009
tt1058017,6.4,104228,movie,The Invention of Lying,The Invention of Lying,0,2009,,100,"Comedy,Fantasy,Romance",4951,555,1058017,2,"Invention of Lying, The",2009
tt1059786,6.6,164032,movie,Eagle Eye,Eagle Eye,0,2008,,118,"Action,Mystery,Thriller",4649,463,1059786,1,Eagle Eye,2008
tt1059925,6.2,9041,movie,According to Greta,Greta,0,2009,,92,"Drama,Romance",4834,3997,1059925,3,According to Greta,2009
tt1060277,7,342743,movie,Cloverfield,Cloverfield,0,2008,,85,"Action,Horror,Sci-Fi",4787,889,1060277,3,Cloverfield,2008
tt1063669,7.6,92723,movie,The Wave,Die Welle,0,2008,,107,"Drama,Thriller",4672,7437,1063669,3,Die Welle,2008
tt1064932,7.1,35499,movie,Welcome to the Sticks,Bienvenue chez les Ch'tis,0,2008,,106,"Comedy,Romance",4723,6287,1064932,2,Bienvenue chez les Ch&#39;tis,2008
tt1065073,7.9,308653,movie,Boyhood,Boyhood,0,2014,,165,Drama,6721,5508,1065073,3,Boyhood,2014
tt1067583,6.9,103959,movie,Water for Elephants,Water for Elephants,0,2011,,120,"Drama,Romance",5718,2325,1067583,1,Water for Elephants,2011
tt1067733,6.9,8431,movie,"Patrik, Age 1.5","Patrik 1,5",0,2008,,103,"Comedy,Drama,Romance",4759,7657,1067733,1,"Patrik, Age 1.5",2008
tt1067765,6.2,15533,movie,Adult World,Adult World,0,2013,,97,"Comedy,Drama",6440,6699,1067765,3,Adult World,2013
